position,title
Q655407,President
Q553169,Vice President
Q849418,General Secretary of the Chinese Communist Party
Q4122271,Premier of the State Council
Q508368,Vice Premier of the State Council
Q7143813,Secretary-General of the State Council
Q835630,State Councilor
Q7444252,Secretary for Commerce and Economic Development
Q7444253,Secretary for Constitutional and Mainland Affairs
Q7444254,Secretary for Development
Q7444258,Secretary for Financial Services and the Treasury
Q7444263,Secretary for Home Affairs
Q7444266,Secretary for Labour and Welfare
Q7444275,Secretary for Transport and Housing
Q17280143,Minister of Agriculture
Q17280153,Minister of Commerce
Q23498524,Minister of Culture
Q56816035,Minister of Education
Q2664362,Minister of Foreign Affairs
Q17279702,Minister of Justice
Q10297096,Minister of National Defence
Q6866288,Minister of Public Security
Q17279707,Minister of Railways
Q56816189,Minister of Science and Technology
Q17279714,Minister of State Security
Q10301264,President of the Supreme People's Court
Q20787785,Governor of the People's Bank
